year,F1 Visa issued to Chinese,F1,pct_f1
2007,56833,298393,19.046358326100144
2008,73299,340711,21.513540801441692
2009,95041,331208,28.695260984034203
2010,127188,385210,33.01783442797435
2011,166907,447410,37.305156344292705
2012,202808,486900,41.65290614089135
2013,230461,534320,43.13164395867645
2014,257529,595569,43.24083355580966
2015,287311,644233,44.59737393148131
2016,160492,471728,34.02214835668012
2017,124628,393573,31.665790082144863
